Change,Excluded,Name,Original,en,test,ch,br,es,de,fr,ru,it,ko,jp,pl,da,nl,fi,no,sv,hu,cs,ro,tr,ar,bg,el,uk,vi,th,id,tl,ms,hi,sk,hr,sr,ca,he,fa
,,Sam,The stars are beautiful tonight\..\..\..,The stars are beautiful tonight\..\..\..,test,오늘 밤 별이 참 아름답네요\..\..\..,As estrelas estão lindas hoje\..\..\..,Qué bonitas se ven las estrellas esta noche\..\..\..,Die Sterne sind heute wunderschön \..\..\..,Les étoiles sont magnifiques ce soir\..\..\..,Красивые сегодня звёзды\..\..\..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sam,"...Oh, sorry. I didn't see you there.","...Oh, sorry. I didn't see you there.",test,"...아, 미안해요. 거기 있는 줄 몰랐어요.","... Opa, desculpa. Não tinha te visto aí.","... Oh, perdona, no te había visto.","… Oh, tut mir leid. Hab dich da gar nicht gesehen.","... Oh, désolée. Je n'avais pas remarqué que tu étais là.","... Ой, прости. Я тебя не увидела.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sam,I was lost in thought.,I was lost in thought.,test,생각에 잠겨 있었어요.,Tava pensando na vida.,Estaba absorta en mis pensamientos.,Ich war so in Gedanken versunken.,J'étais perdue dans mes pensées.,Немного задумалась.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sam,Do you ever stare off into the night sky for so long that you forget about the Earth?,Do you ever stare off into the night sky for so long that you forget about the Earth?,test,밤하늘을 너무 오래 바라보다가 지구를 잊어버린 적 있어요?,"Já te aconteceu de encarar o céu da noite por tanto tempo, que você acaba esquecendo daqui da Terra?",¿Alguna vez te quedas mirando el cielo nocturno tanto rato que te olvidas de la Tierra?,"Starrst du auch manchmal so lange in den Nachthimmel, dass du die Erde komplett vergisst?",Est-ce que ça t'arrive de regarder le ciel pendant si longtemps que tu en oublies la Terre ?,"У тебя когда-нибудь бывало такое, что смотришь в ночное небо так долго, что забываешь о том, что ты на Земле?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sam,"I mean... just staring until it feels like the darkness is sucking you out of your body, and you're just floating out there, in space...","I mean... just staring until it feels like the darkness is sucking you out of your body, and you're just floating out there, in space...",test,"그러니까... 어둠이 몸에서 나를 빨아내는 것처럼 느껴질 때까지 바라보다가, 우주에 그냥 둥둥 떠 있는 것 같은 거예요...","Digo... de ficar encarando até parecer que a escuridão tá te sugando pra fora do corpo, e que você tá lá no espaço, flutuando...",Quiero decir que... si te quedas mirando hasta que parece que la oscuridad te saca de tu cuerpo y estás flotando por el espacio...,"Ich meine … bis es sich so anfühlt, als ob die Finsternis dich aus deinem Körper saugt und du einfach nur im All schwebst …",Tu sais... comme si l'obscurité t'aspirait hors de ton corps et que tu te mettais à flotter dans l'espace ?,"Ну, как бы это объяснить... когда пристально вглядываешься в глубину неба, пока не почувствуешь, как тьма высасывает твоё сознание из тела, и ты просто паришь там, в пустоте, среди звёзд...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sam,"...Sorry, I must sound crazy.","...Sorry, I must sound crazy.",test,"...미안해요, 제가 좀 미친 사람처럼 들리겠네요.","... Desculpa, eu pareço uma maluca falando isso.","... Perdona, estoy hablando como una loca.","… Sorry, ich kling bestimmt verrückt.",... Tu dois me prendre pour une folle.,"... Прости, я, наверно, кажусь сумасшедшей.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sam,"Here, you can have this. I found it in the park.","Here, you can have this. I found it in the park.",test,"자, 이거 가져요. 공원에서 찾았어요.","Aqui, pode ficar com isso. Eu achei no parque.","Toma, quédate esto. Lo encontré en el parque.","Hier, das kannst du haben. Hab ich im Park gefunden.","Tiens, je te le donne. J'ai trouvé ça dans le parc.","Вот, возьми. Я нашла это в парке.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sam,Thanks for listening to me ramble.,Thanks for listening to me ramble.,test,제 횡설수설을 들어 줘서 고마워요.,Obrigada por me ouvir tagarelar.,Gracias por dejarme divagar así.,"Danke, dass du dir mein Gefasel angehört hast.",C'était gentil de ta part de me laisser divaguer.,"Спасибо, что терпишь мою болтовню.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sam,I came all the way down to the general store to pick a few things up.,I came all the way down to the general store to pick a few things up.,test,몇 가지 사려고 일부러 잡화점까지 왔는데요.,Eu fui até a mercearia pegar umas coisinhas.,He venido hasta el colmado para comprar unas cuantas cosas.,"Ich bin extra den weiten Weg zum Supermarkt gekommen, um ein paar Dinge einzukaufen.",Je suis venue jusqu'à la supérette pour faire quelques courses.,"Я притащилась в магазин, чтобы кое-чем закупиться.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
